id,type,repositoryid,idno,title,Category,abbreviation,authoring_entity,nation,year_start,year_end,link_da,published,created,changed,varcount,total_views,total_downloads,created_by,changed_by,formid,pub_2020_Q1,pub_2020_Q2,pub_2020_Q3,pub_2020_Q4,pub_2021_Q1,pub_2021_Q2,pub_2021_Q3,pub_2021_Q4,pub_2022_Q1,pub_2022_Q2,pub_date,pub_current,origin,collection,region,Camps / Shelter / NFI,Cash Assistance,Communications,Education,Energy & Environment,Food Security,Health & Nutrition,"Housing, Land & Property",Multi-Sector Assessment,Peace-building,Protection,Socioeconomics & Livelihoods,Water Sanitation Hygiene,subject_check
206,survey,EHA,UNHCR_UGA_KAP_2018_KYANGWALI_v2.1,"WASH KAP Survey, Kyangwali Refugee Settlement 2018",KAP WASH Survey,WASHKAP,"UNHCR, Action Africa Help, Lutheran World Federation",Uganda,2018,2018,,1,2020-01-16T15:38:04+01:00,2020-01-16T16:46:36+01:00,44,906,96,102,102,3,0,1,1,1,1,1,1,1,1,1,2020-Q2,1,UNHCR,East & Horn of Africa,East & Horn of Africa,,,,,,,,,,,,,1,1
207,survey,EHA,UNHCR_UGA_KAP_2018_PALORINYA_v2.1,"WASH KAP Survey, Palorinya Refugee settlement zone 3 - 2018",KAP WASH Survey,WASHKAP,"Norwegian Refugee Council, UNHCR",Uganda,2018,2018,,1,2020-01-16T16:34:34+01:00,2020-01-16T16:45:03+01:00,167,946,128,102,102,3,0,1,1,1,1,1,1,1,1,1,2020-Q2,1,UNHCR,East & Horn of Africa,East & Horn of Africa,,,,,,,,,,,,,1,1
208,survey,ASIA,UNHCR_BGD_MSNA_2019_JUNE_v2.1,"Multi Sector Needs Assessment: Cox’s Bazar, Rohingya Refugee Response – June 2019",Multi Sector Needs Assessment,MSNA,"UNHCR, IOM Needs and Population Monitoring, ACAPS, WFP VAM, REACH",Bangladesh,2019,2019,,1,2020-01-19T18:34:51+01:00,2020-01-20T10:25:45+01:00,309,5507,4609,102,102,3,0,1,1,1,1,1,1,1,1,1,2020-Q2,1,UNHCR,Asia Pacific,Asia Pacific,,,,,,,,,1,,,,,1
209,survey,ASIA,UNHCR_BGD_SHELTER_2019_v2.1,Shelter Need Assessment Cox's Bazar 2019,Shelter Need Assessment,SHELTER,UNHCR,Bangladesh,2019,2019,,1,2020-01-21T14:37:04+01:00,2020-01-21T14:39:53+01:00,16,1044,77,102,102,3,1,1,1,1,1,1,1,1,1,1,2020-Q1,1,UNHCR,Asia Pacific,Asia Pacific,1,,,,,,,,,,,,,1
210,survey,ASIA,UNHCR_BGD_PDM_2018_JULY_v2.1,Post-Distribution Monitoring Cash-Based Interventions - July 2018,Post-Distribution Monitoring of Cash-Based Interventions,PDM,UNHCR,Bangladesh,2018,2018,,1,2020-01-29T18:07:20+01:00,2020-01-29T18:07:42+01:00,103,1699,7004,59,59,3,1,1,1,1,1,1,1,1,1,1,2020-Q1,1,UNHCR,Asia Pacific,Asia Pacific,,1,,,,,,,,,,,,1
211,survey,ASIA,UNHCR_BGD_PDM_2018_SEPTEMBER_v2.1,Post Distribution Monitoring shelter and non-food items - September 2018,Post Distribution Monitoring of Non-Food Items,PDM,UNHCR,Bangladesh,2018,2018,,1,2020-01-29T18:22:48+01:00,2020-01-29T18:33:26+01:00,444,5918,143,59,59,3,1,1,1,1,1,1,1,1,1,1,2020-Q1,1,UNHCR,Asia Pacific,Asia Pacific,1,,,,,,,,,,,,,1
212,survey,EHA,DDI_ETH_UNHCR_SENS_2017_v1.0,"Joint Standardized Expanded Nutrition Survey Final Report (Aysaita & Berhale) Refugee Camps, Afar Region, Ethiopia (September 2017)",Standardized Expanded Nutrition Survey (SENS),SENS,"UNHCR, ARRA, WFP, GOAL",Ethiopia,2017,2017,,1,2020-02-13T14:36:56+01:00,2020-03-25T20:41:30+01:00,0,33,2,60,60,3,0,0,0,0,0,0,0,1,1,1,2021-Q4,1,UNHCR,East & Horn of Africa,East & Horn of Africa,,,,,,1,1,,,,,,1,3
213,survey,EHA,UNHCR_UGA_2019_KAP_Kyangwali_v2.1,"WASH KAP Survey Kyangwali Refugee Camp, November 2019",KAP WASH Survey,WASHKAP,UNHCR,Uganda,2019,2019,,1,2020-02-13T14:47:13+01:00,2020-05-20T13:33:46+02:00,99,486,72,102,102,3,0,1,1,1,1,1,1,1,1,1,2020-Q2,1,UNHCR,East & Horn of Africa,East & Horn of Africa,,,,,,,,,,,,,1,1
214,survey,EURO,UNHCR_GRC_PROFILING_2019_v2.1,"Thessaloniki: Profiling of Refugees, Asylum Seekers and Third Country Nationals not registered with the Asylum Service. Potential and Obstacles to Local Integration.  2019",Internal Displacement Profiling,PROFILING,"Municipality of Thessaloniki, United Nations High Commissioner for Refugees (UNHCR), JIPS, International Organisation for Migration (IOM), Norwegian Refugee Council (NRC), Alkyone Refugee Day Care Centre, Danish Refugee Council (DRC), Arsis Association for the Social Support of Youth, Solidarity",Greece,2018,2018,,1,2020-02-13T15:03:21+01:00,2020-02-13T15:08:09+01:00,400,2575,74,102,102,3,0,0,1,1,1,1,1,1,1,1,2020-Q3,1,UNHCR,Europe,Europe,,,,,,,,,,,1,,,1
215,survey,MENA,UNHCR_LBN_2019_VASYR_v2.1,Vulnerability Assessment of Syrian Refugees - 2019,Vulnerability Assessment of Syrian Refugees (VASYR),VASYR,"UNHCR, WFP, UNICEF",Lebanon,2019,2019,,1,2020-02-14T15:49:36+01:00,2020-05-20T13:20:31+02:00,645,4729,164,102,102,3,0,1,1,1,1,1,1,1,1,1,2020-Q2,1,UNHCR,Mid. East & N. Africa,Mid. East & N. Africa,,,,,,,,,1,,,,,1
216,survey,ASIA,Bangladesh_SWEEP_2018_Study_Documentation,Summary of WASH Assessment in UNHCR Bangladesh Supported Camps 2018,KAP WASH Survey,WASHKAP,Office of the High Commissioner for Refugees,Bangladesh,2018,2018,,1,2020-02-20T16:17:44+01:00,2020-05-04T15:46:01+02:00,84,3594,99,60,60,3,1,1,1,1,1,1,1,1,1,1,2020-Q1,1,UNHCR,Asia Pacific,Asia Pacific,,,,,,,,,,,,,1,1
218,survey,MENA,UNHCR_IRQ_2016_PROFILING_v2.1,Profiling of South and Central Governorates - 2016,Internal Displacement Profiling,PROFILING,"Ministry of Displacement and Migration in Iraq Department of Information and Research, UNHCR, Joint IDP Profiling Service, Statistics Norway",Iraq,2016,2016,,1,2020-02-21T14:15:00+01:00,2020-02-21T14:24:20+01:00,102,1335,81,102,102,3,0,1,1,1,1,1,1,1,1,1,2020-Q2,1,UNHCR,Mid. East & N. Africa,Mid. East & N. Africa,,,,,,,,,,,1,,,1
220,survey,MENA,UNHCR_LBN_2019_VASYR_Arsaal_v2.1,Vulnerability Assessment of Syrian Refugees in Arsaal - 2019,Vulnerability Assessment of Syrian Refugees (VASYR),VASYR,"UNHCR, WFP, UNICEF",Lebanon,2019,2019,,1,2020-03-02T09:43:01+01:00,2020-05-20T13:20:16+02:00,618,3900,64,102,102,3,0,1,1,1,1,1,1,1,1,1,2020-Q2,1,UNHCR,Mid. East & N. Africa,Mid. East & N. Africa,,,,,,,,,1,,,,,1
